age,job,marital,education,defaulter,balance,housing,loan,contact,dy,mnth,duration,campaign,pdays,previous,poutcome,y
32,blue-collar,single,primary,no,23,yes,yes,(447) 689-2960,5,may,160,1,-1,0,unknown,no
25,services,married,secondary,no,50,yes,no,(474) 943-3063,5,may,342,1,-1,0,unknown,no
40,retired,married,primary,no,0,yes,yes,(984) 399-8427,5,may,181,1,-1,0,unknown,no
44,admin.,married,secondary,no,-372,yes,no,(809) 303-5246,5,may,172,1,-1,0,unknown,no
39,management,single,tertiary,no,255,yes,no,(401) 678-4478,5,may,296,1,-1,0,unknown,no
52,entrepreneur,married,secondary,no,113,yes,yes,(248) 241-5983,5,may,127,1,-1,0,unknown,no
46,management,single,secondary,no,-246,yes,no,(960) 435-1557,5,may,255,2,-1,0,unknown,no
36,technician,single,secondary,no,265,yes,yes,(867) 903-8069,5,may,348,1,-1,0,unknown,no
57,technician,married,secondary,no,839,no,yes,(210) 273-8098,5,may,225,1,-1,0,unknown,no
49,management,married,tertiary,no,378,yes,no,(730) 640-1676,5,may,230,1,-1,0,unknown,no
60,admin.,married,secondary,no,39,yes,yes,(663) 595-3257,5,may,208,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,(480) 736-3019,5,may,226,1,-1,0,unknown,no
51,management,married,tertiary,no,10635,yes,no,(760) 807-5930,5,may,336,1,-1,0,unknown,no
57,technician,divorced,secondary,no,63,yes,no,(351) 786-4659,5,may,242,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,-7,yes,no,(328) 239-8927,5,may,365,1,-1,0,unknown,no
53,technician,married,secondary,no,-3,no,no,(478) 583-4674,5,may,1666,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,506,yes,no,(566) 215-7056,5,may,577,1,-1,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,(273) 439-7231,5,may,137,1,-1,0,unknown,no
44,services,divorced,secondary,no,2586,yes,no,(703) 436-8908,5,may,160,1,-1,0,unknown,no
50,management,married,secondary,no,49,yes,no,(901) 493-5996,5,may,180,2,-1,0,unknown,no
60,blue-collar,married,unknown,no,104,yes,no,(721) 774-7047,5,may,22,1,-1,0,unknown,no
54,retired,married,secondary,no,529,yes,no,(545) 302-9064,5,may,1492,1,-1,0,unknown,no
58,retired,married,unknown,no,96,yes,no,(356) 909-4871,5,may,616,1,-1,0,unknown,no
36,admin.,single,primary,no,-171,yes,no,(832) 566-8123,5,may,242,1,-1,0,unknown,no
58,self-employed,married,tertiary,no,-364,yes,no,(389) 206-4983,5,may,355,1,-1,0,unknown,no
44,technician,married,secondary,no,0,yes,no,(846) 247-5162,5,may,225,2,-1,0,unknown,no
55,technician,divorced,secondary,no,0,no,no,(767) 851-6835,5,may,160,1,-1,0,unknown,no
29,management,single,tertiary,no,0,yes,no,(808) 871-6933,5,may,363,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,(703) 900-4150,5,may,266,1,-1,0,unknown,no
48,management,divorced,tertiary,no,-244,yes,no,(816) 233-8158,5,may,253,1,-1,0,unknown,no
32,management,married,tertiary,no,0,yes,no,(228) 418-8448,5,may,179,1,-1,0,unknown,no
42,admin.,single,secondary,no,-76,yes,no,(665) 330-8547,5,may,787,1,-1,0,unknown,no
24,technician,single,secondary,no,-103,yes,yes,(601) 392-2388,5,may,145,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,no,243,no,yes,(327) 471-7198,5,may,174,1,-1,0,unknown,no
38,management,single,tertiary,no,424,yes,no,(443) 355-4313,5,may,104,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,306,yes,no,(868) 497-4673,5,may,13,1,-1,0,unknown,no
40,blue-collar,single,unknown,no,24,yes,no,(314) 282-8445,5,may,185,1,-1,0,unknown,no
46,services,married,primary,no,179,yes,no,(845) 554-8139,5,may,1778,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,(916) 592-9028,5,may,138,1,-1,0,unknown,no
53,technician,divorced,secondary,no,989,yes,no,(971) 804-8765,5,may,812,1,-1,0,unknown,no
57,blue-collar,married,primary,no,249,yes,no,(527) 987-6465,5,may,164,1,-1,0,unknown,no
33,services,married,secondary,no,790,yes,no,(631) 457-5385,5,may,391,1,-1,0,unknown,no
49,blue-collar,married,unknown,no,154,yes,no,(713) 905-8081,5,may,357,1,-1,0,unknown,no
51,management,married,tertiary,no,6530,yes,no,(330) 287-8834,5,may,91,1,-1,0,unknown,no
60,retired,married,tertiary,no,100,no,no,(579) 450-3473,5,may,528,1,-1,0,unknown,no
59,management,divorced,tertiary,no,59,yes,no,(847) 435-4989,5,may,273,1,-1,0,unknown,no
55,technician,married,secondary,no,1205,yes,no,(340) 955-9700,5,may,158,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,12223,yes,yes,(464) 848-4699,5,may,177,1,-1,0,unknown,no
57,blue-collar,married,secondary,no,5935,yes,yes,(758) 595-3876,5,may,258,1,-1,0,unknown,no
31,services,married,secondary,no,25,yes,yes,(764) 275-2144,5,may,172,1,-1,0,unknown,no
54,management,married,secondary,no,282,yes,yes,(232) 492-8583,5,may,154,1,-1,0,unknown,no
55,blue-collar,married,primary,no,23,yes,no,(867) 704-2877,5,may,291,1,-1,0,unknown,no
43,technician,married,secondary,no,1937,yes,no,(566) 999-1892,5,may,181,1,-1,0,unknown,no
53,technician,married,secondary,no,384,yes,no,(282) 568-5463,5,may,176,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,582,no,yes,(827) 756-6382,5,may,211,1,-1,0,unknown,no
55,services,divorced,secondary,no,91,no,no,(827) 808-1864,5,may,349,1,-1,0,unknown,no
49,services,divorced,secondary,no,0,yes,yes,(300) 924-2101,5,may,272,1,-1,0,unknown,no
55,services,divorced,secondary,yes,1,yes,no,(549) 446-3467,5,may,208,1,-1,0,unknown,no
45,admin.,single,secondary,no,206,yes,no,(545) 979-2159,5,may,193,1,-1,0,unknown,no
47,services,divorced,secondary,no,164,no,no,(882) 679-3166,5,may,212,1,-1,0,unknown,no
42,technician,single,secondary,no,690,yes,no,(850) 565-6784,5,may,20,1,-1,0,unknown,no
59,admin.,married,secondary,no,2343,yes,no,(824) 752-3339,5,may,1042,1,-1,0,unknown,yes
46,self-employed,married,tertiary,no,137,yes,yes,(410) 943-3964,5,may,246,1,-1,0,unknown,no
51,blue-collar,married,primary,no,173,yes,no,(368) 500-3045,5,may,529,2,-1,0,unknown,no
56,admin.,married,secondary,no,45,no,no,(918) 919-6772,5,may,1467,1,-1,0,unknown,yes
41,technician,married,secondary,no,1270,yes,no,(702) 622-1524,5,may,1389,1,-1,0,unknown,yes
46,management,divorced,secondary,no,16,yes,yes,(510) 445-4106,5,may,188,2,-1,0,unknown,no
57,retired,married,secondary,no,486,yes,no,(426) 969-5689,5,may,180,2,-1,0,unknown,no
42,management,single,secondary,no,50,no,no,(867) 279-3844,5,may,48,1,-1,0,unknown,no
30,technician,married,secondary,no,152,yes,yes,(858) 469-8936,5,may,213,2,-1,0,unknown,no
60,admin.,married,secondary,no,290,yes,no,(383) 549-2799,5,may,583,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,54,yes,no,(515) 337-7883,5,may,221,1,-1,0,unknown,no
57,entrepreneur,divorced,secondary,no,-37,no,no,(807) 759-1492,5,may,173,1,-1,0,unknown,no
36,management,married,tertiary,no,101,yes,yes,(311) 393-2574,5,may,426,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,383,no,no,(445) 440-5647,5,may,287,1,-1,0,unknown,no
60,retired,married,tertiary,no,81,yes,no,(932) 898-6713,5,may,101,1,-1,0,unknown,no
39,technician,married,secondary,no,0,yes,no,(386) 293-4065,5,may,203,1,-1,0,unknown,no
46,management,married,tertiary,no,229,yes,no,(883) 262-2014,5,may,197,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,-674,yes,no,(472) 334-5357,5,may,257,1,-1,0,unknown,no
53,blue-collar,married,primary,no,90,no,no,(612) 799-6215,5,may,124,1,-1,0,unknown,no
52,blue-collar,married,primary,no,128,yes,no,(245) 996-9477,5,may,229,1,-1,0,unknown,no
59,blue-collar,married,primary,no,179,yes,no,(281) 428-8709,5,may,55,3,-1,0,unknown,no
27,technician,single,tertiary,no,0,yes,no,(311) 222-7960,5,may,400,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,54,yes,no,(951) 953-2875,5,may,197,1,-1,0,unknown,no
47,technician,married,tertiary,no,151,yes,no,(807) 329-4288,5,may,190,1,-1,0,unknown,no
34,admin.,married,secondary,no,61,no,yes,(807) 875-1910,5,may,21,1,-1,0,unknown,no
59,retired,single,secondary,no,30,yes,no,(776) 566-3407,5,may,514,1,-1,0,unknown,no
45,management,married,tertiary,no,523,yes,no,(745) 888-3775,5,may,849,2,-1,0,unknown,no
29,services,divorced,secondary,no,31,yes,no,(569) 200-3256,5,may,194,1,-1,0,unknown,no
46,technician,divorced,secondary,no,79,no,no,(767) 255-9458,5,may,144,1,-1,0,unknown,no
56,self-employed,married,primary,no,-34,yes,yes,(615) 673-8836,5,may,212,2,-1,0,unknown,no
36,blue-collar,married,primary,no,448,yes,no,(769) 416-2579,5,may,286,1,-1,0,unknown,no
59,retired,divorced,primary,no,81,yes,no,(248) 867-1954,5,may,107,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,144,yes,no,(308) 967-2059,5,may,247,2,-1,0,unknown,no
41,admin.,married,secondary,no,351,yes,no,(806) 382-2810,5,may,518,1,-1,0,unknown,no
33,management,single,tertiary,no,-67,yes,no,(209) 643-8646,5,may,364,1,-1,0,unknown,no
59,management,divorced,tertiary,no,262,no,no,(809) 485-9060,5,may,178,1,-1,0,unknown,no
57,technician,married,primary,no,0,no,no,(872) 848-7760,5,may,98,1,-1,0,unknown,no
56,technician,divorced,unknown,no,56,yes,no,(949) 445-2223,5,may,439,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,26,yes,no,(415) 856-1111,5,may,79,1,-1,0,unknown,no
34,admin.,married,unknown,no,3,yes,no,(478) 948-7976,5,may,120,3,-1,0,unknown,no
43,services,married,secondary,no,41,yes,yes,(908) 782-8301,5,may,127,2,-1,0,unknown,no
52,technician,married,tertiary,no,7,no,yes,(531) 928-9223,5,may,175,1,-1,0,unknown,no
33,technician,single,secondary,no,105,yes,no,(430) 397-9820,5,may,262,2,-1,0,unknown,no
29,admin.,single,secondary,no,818,yes,yes,(860) 745-1150,5,may,61,1,-1,0,unknown,no
34,services,married,secondary,no,-16,yes,yes,(861) 880-7376,5,may,78,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,0,yes,no,(540) 711-2848,5,may,143,1,-1,0,unknown,no
55,services,married,secondary,no,2476,yes,no,(353) 972-3593,5,may,579,1,-1,0,unknown,yes
55,management,married,unknown,no,1185,no,no,(670) 490-7555,5,may,677,1,-1,0,unknown,no
32,admin.,single,secondary,no,217,yes,no,(722) 906-6682,5,may,345,1,-1,0,unknown,no
38,technician,single,secondary,no,1685,yes,no,(652) 379-5931,5,may,185,1,-1,0,unknown,no
55,admin.,single,secondary,no,802,yes,yes,(930) 275-6747,5,may,100,2,-1,0,unknown,no
28,unemployed,single,tertiary,no,0,yes,no,(412) 343-3781,5,may,125,2,-1,0,unknown,no
23,blue-collar,married,secondary,no,94,yes,no,(309) 699-5523,5,may,193,1,-1,0,unknown,no
32,technician,single,secondary,no,0,yes,no,(623) 948-4878,5,may,136,1,-1,0,unknown,no
43,services,single,unknown,no,0,no,no,(915) 834-1421,5,may,73,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,517,yes,no,(943) 210-7600,5,may,528,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,265,yes,no,(380) 318-1673,5,may,541,1,-1,0,unknown,no
53,housemaid,divorced,primary,no,947,yes,no,(451) 286-3007,5,may,163,1,-1,0,unknown,no
34,self-employed,single,secondary,no,3,yes,no,(313) 414-1033,5,may,301,1,-1,0,unknown,no
57,unemployed,married,tertiary,no,42,no,no,(707) 725-7962,5,may,46,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,37,yes,no,(730) 214-8750,5,may,204,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,57,yes,no,(269) 979-6041,5,may,98,1,-1,0,unknown,no
33,services,married,secondary,no,22,yes,no,(275) 764-2565,5,may,71,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,8,yes,no,(310) 610-9124,5,may,157,2,-1,0,unknown,no
48,unemployed,married,secondary,no,293,yes,no,(647) 643-8830,5,may,243,1,-1,0,unknown,no
43,services,married,primary,no,3,yes,no,(365) 708-5493,5,may,186,2,-1,0,unknown,no
54,blue-collar,married,primary,no,348,yes,no,(456) 833-6990,5,may,579,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,-19,yes,no,(711) 305-2523,5,may,163,2,-1,0,unknown,no
26,student,single,secondary,no,0,yes,no,(751) 596-6999,5,may,610,2,-1,0,unknown,no
40,management,married,tertiary,no,-4,yes,no,(651) 897-5710,5,may,2033,1,-1,0,unknown,no
39,management,married,secondary,no,18,yes,no,(322) 483-5476,5,may,85,1,-1,0,unknown,no
50,technician,married,primary,no,139,no,no,(563) 954-5034,5,may,114,2,-1,0,unknown,no
41,services,married,secondary,no,0,yes,no,(965) 840-3449,5,may,114,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,1883,yes,no,(327) 913-8934,5,may,57,1,-1,0,unknown,no
60,retired,divorced,secondary,no,216,yes,no,(341) 446-4582,5,may,238,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,782,yes,no,(607) 338-6776,5,may,93,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,904,yes,no,(769) 250-8312,5,may,128,2,-1,0,unknown,no
48,services,married,unknown,no,1705,yes,no,(413) 574-5996,5,may,107,1,-1,0,unknown,no
39,technician,single,tertiary,no,47,yes,no,(638) 442-8214,5,may,181,1,-1,0,unknown,no
47,services,single,secondary,no,176,yes,no,(202) 558-8352,5,may,303,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,1225,yes,no,(644) 331-6029,5,may,558,5,-1,0,unknown,no
45,technician,married,secondary,no,86,yes,no,(440) 604-7951,5,may,270,1,-1,0,unknown,no
26,admin.,single,secondary,no,82,yes,no,(687) 908-4216,5,may,228,1,-1,0,unknown,no
52,management,married,tertiary,no,271,yes,no,(710) 338-1612,5,may,99,1,-1,0,unknown,no
54,technician,married,secondary,no,1378,yes,no,(410) 394-9486,5,may,240,1,-1,0,unknown,no
54,admin.,married,tertiary,no,184,no,no,(814) 271-7203,5,may,673,2,-1,0,unknown,yes
50,blue-collar,married,primary,no,0,no,no,(835) 854-2662,5,may,233,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,no,(285) 963-5910,5,may,1056,1,-1,0,unknown,no
44,services,married,secondary,no,1357,yes,yes,(663) 627-8764,5,may,250,1,-1,0,unknown,no
53,entrepreneur,married,unknown,no,19,yes,no,(985) 897-1575,5,may,252,1,-1,0,unknown,no
35,retired,single,primary,no,434,no,no,(417) 505-8147,5,may,138,1,-1,0,unknown,no
60,admin.,divorced,secondary,no,92,yes,no,(953) 924-4293,5,may,130,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,1151,yes,no,(210) 552-9074,5,may,412,1,-1,0,unknown,no
48,unemployed,married,secondary,no,41,yes,no,(600) 568-5579,5,may,179,2,-1,0,unknown,no
34,technician,married,secondary,no,51,yes,no,(550) 835-6420,5,may,19,2,-1,0,unknown,no
54,services,married,secondary,no,214,yes,no,(766) 795-3097,5,may,458,2,-1,0,unknown,no
51,management,married,secondary,no,1161,yes,no,(302) 665-1489,5,may,717,1,-1,0,unknown,no
31,services,married,tertiary,no,37,yes,no,(768) 350-5939,5,may,313,1,-1,0,unknown,no
35,technician,divorced,secondary,no,787,yes,no,(701) 770-8339,5,may,683,2,-1,0,unknown,no
35,services,married,secondary,no,59,yes,no,(711) 453-3053,5,may,1077,1,-1,0,unknown,no
38,technician,married,secondary,no,253,yes,no,(719) 892-8436,5,may,416,1,-1,0,unknown,no
36,admin.,married,tertiary,no,211,yes,no,(602) 231-4914,5,may,146,2,-1,0,unknown,no
58,retired,married,primary,no,235,yes,no,(734) 997-5526,5,may,167,1,-1,0,unknown,no
40,services,divorced,unknown,no,4384,yes,no,(789) 703-3030,5,may,315,1,-1,0,unknown,no
54,management,married,secondary,no,4080,no,no,(386) 323-7286,5,may,140,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,53,yes,yes,(565) 529-1456,5,may,346,1,-1,0,unknown,no
31,management,single,tertiary,no,0,yes,no,(250) 286-8083,5,may,562,1,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,(377) 659-7108,5,may,172,1,-1,0,unknown,no
33,management,married,tertiary,no,377,yes,no,(541) 619-7500,5,may,217,1,-1,0,unknown,no
55,management,married,tertiary,no,73,yes,no,(679) 650-8740,5,may,142,2,-1,0,unknown,no
42,admin.,married,secondary,no,445,yes,no,(233) 691-4838,5,may,67,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,243,yes,no,(624) 771-8542,5,may,291,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,307,yes,no,(609) 658-8983,5,may,309,2,-1,0,unknown,no
38,services,married,secondary,no,155,yes,no,(842) 849-6335,5,may,248,1,-1,0,unknown,no
50,technician,divorced,tertiary,no,173,no,yes,(684) 428-8343,5,may,98,1,-1,0,unknown,no
43,management,married,tertiary,no,400,yes,no,(376) 980-3145,5,may,256,1,-1,0,unknown,no
61,blue-collar,divorced,primary,no,1428,yes,no,(841) 806-9130,5,may,82,2,-1,0,unknown,no
47,admin.,married,secondary,no,219,yes,no,(840) 442-5232,5,may,577,1,-1,0,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,(508) 419-7121,5,may,286,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,575,yes,no,(976) 329-2695,5,may,477,1,-1,0,unknown,no
35,student,single,unknown,no,298,yes,no,(763) 910-4339,5,may,611,2,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,(523) 574-8020,5,may,471,1,-1,0,unknown,no
50,services,married,secondary,no,5699,yes,no,(302) 662-5688,5,may,381,2,-1,0,unknown,no
41,management,married,tertiary,no,176,yes,yes,(256) 759-9245,5,may,42,1,-1,0,unknown,no
41,management,married,tertiary,no,517,yes,no,(344) 685-4873,5,may,251,1,-1,0,unknown,no
39,services,single,unknown,no,257,yes,no,(365) 811-8952,5,may,408,1,-1,0,unknown,no
42,retired,married,secondary,no,56,yes,no,(302) 529-3976,5,may,215,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,-390,yes,no,(725) 524-5268,5,may,287,1,-1,0,unknown,no
53,retired,married,secondary,no,330,yes,no,(367) 904-4168,5,may,216,2,-1,0,unknown,no
59,housemaid,divorced,primary,no,195,no,no,(972) 469-7055,5,may,366,2,-1,0,unknown,no
36,services,married,secondary,no,301,yes,no,(272) 858-7606,5,may,210,1,-1,0,unknown,no
54,blue-collar,married,primary,no,-41,yes,no,(252) 501-3984,5,may,288,1,-1,0,unknown,no
40,technician,married,tertiary,no,483,yes,no,(354) 829-3625,5,may,168,1,-1,0,unknown,no
47,unknown,married,unknown,no,28,no,no,(263) 526-9185,5,may,338,2,-1,0,unknown,no
53,unemployed,married,unknown,no,13,no,no,(404) 269-3358,5,may,410,3,-1,0,unknown,no
46,housemaid,married,primary,no,965,no,no,(772) 416-1086,5,may,177,1,-1,0,unknown,no
39,management,married,tertiary,no,378,yes,yes,(460) 427-7576,5,may,127,2,-1,0,unknown,no
40,unemployed,married,secondary,no,219,yes,no,(435) 691-2873,5,may,357,1,-1,0,unknown,no
28,blue-collar,married,primary,no,324,yes,no,(902) 353-4170,5,may,175,1,-1,0,unknown,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,(650) 975-3818,5,may,300,1,-1,0,unknown,no
55,retired,married,secondary,no,0,no,yes,(488) 470-6307,5,may,136,1,-1,0,unknown,no
43,technician,divorced,unknown,no,205,yes,no,(776) 485-9017,5,may,1419,1,-1,0,unknown,no
48,blue-collar,married,primary,no,278,yes,no,(423) 999-5002,5,may,125,2,-1,0,unknown,no
58,management,married,unknown,no,1065,yes,no,(217) 914-7719,5,may,213,3,-1,0,unknown,no
33,management,single,tertiary,no,34,yes,no,(361) 899-3826,5,may,27,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,1033,no,no,(702) 866-1028,5,may,238,2,-1,0,unknown,no
53,services,divorced,secondary,no,1467,yes,no,(460) 814-5914,5,may,124,1,-1,0,unknown,no
47,blue-collar,married,primary,no,-12,yes,no,(583) 335-9368,5,may,18,1,-1,0,unknown,no
31,services,married,secondary,no,388,yes,no,(888) 858-1454,5,may,730,2,-1,0,unknown,no
57,entrepreneur,married,secondary,no,294,yes,no,(621) 860-8566,5,may,746,2,-1,0,unknown,no
53,blue-collar,married,unknown,no,1827,no,no,(931) 667-3525,5,may,121,1,-1,0,unknown,no
55,blue-collar,married,primary,no,627,yes,no,(421) 882-3554,5,may,247,1,-1,0,unknown,no
45,blue-collar,married,primary,no,25,yes,no,(912) 685-5187,5,may,40,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,315,yes,no,(841) 612-9204,5,may,181,2,-1,0,unknown,no
37,blue-collar,married,primary,no,0,yes,no,(246) 734-4425,5,may,79,1,-1,0,unknown,no
44,admin.,divorced,secondary,no,66,yes,no,(852) 916-5025,5,may,206,1,-1,0,unknown,no
49,blue-collar,divorced,primary,no,-9,yes,yes,(957) 681-8234,5,may,389,1,-1,0,unknown,no
46,technician,married,secondary,no,349,yes,yes,(971) 889-4864,5,may,127,1,-1,0,unknown,no
43,entrepreneur,married,unknown,no,100,yes,no,(515) 425-1564,5,may,702,1,-1,0,unknown,no
38,admin.,married,secondary,no,0,no,no,(761) 982-1236,5,may,151,1,-1,0,unknown,no
43,technician,married,secondary,no,434,yes,no,(203) 498-3148,5,may,117,1,-1,0,unknown,no
49,management,married,tertiary,no,3237,yes,no,(678) 211-9082,5,may,232,3,-1,0,unknown,no
42,management,married,unknown,no,275,no,no,(688) 621-3692,5,may,408,2,-1,0,unknown,no
22,blue-collar,single,secondary,no,0,yes,no,(876) 490-3880,5,may,179,2,-1,0,unknown,no
40,management,married,tertiary,no,207,yes,no,(501) 734-8627,5,may,39,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,483,yes,no,(221) 971-7472,5,may,282,1,-1,0,unknown,no
51,services,married,secondary,no,2248,yes,no,(443) 430-8970,5,may,714,2,-1,0,unknown,no
49,admin.,married,secondary,no,428,yes,no,(955) 732-3091,5,may,50,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,0,yes,yes,(757) 224-8984,5,may,181,1,-1,0,unknown,no
34,services,single,secondary,no,0,yes,no,(583) 902-8564,5,may,142,1,-1,0,unknown,no
33,technician,divorced,secondary,no,140,yes,no,(287) 772-3537,5,may,227,1,-1,0,unknown,no
50,management,single,tertiary,no,297,yes,no,(549) 357-3672,5,may,119,1,-1,0,unknown,no
39,blue-collar,married,primary,no,279,yes,no,(838) 727-7805,5,may,361,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,(611) 686-5068,5,may,73,3,-1,0,unknown,no
30,technician,single,secondary,no,2573,yes,no,(225) 333-5269,5,may,67,2,-1,0,unknown,no
36,services,married,secondary,no,143,yes,yes,(646) 271-9557,5,may,350,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,475,yes,no,(829) 771-3452,5,may,332,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,70,yes,no,(436) 373-6350,5,may,611,2,-1,0,unknown,no
34,management,single,tertiary,no,318,yes,no,(404) 713-8038,5,may,113,2,-1,0,unknown,no
37,technician,married,secondary,no,275,yes,no,(257) 694-9591,5,may,132,1,-1,0,unknown,no
42,management,divorced,tertiary,no,742,yes,no,(677) 744-6410,5,may,58,3,-1,0,unknown,no
41,entrepreneur,married,primary,no,236,yes,no,(477) 272-2391,5,may,151,1,-1,0,unknown,no
30,student,single,tertiary,no,25,yes,no,(971) 452-5223,5,may,89,2,-1,0,unknown,no
37,management,single,tertiary,no,600,yes,no,(426) 701-1235,5,may,152,1,-1,0,unknown,no
39,admin.,divorced,secondary,no,-349,yes,no,(315) 773-3921,5,may,611,2,-1,0,unknown,no
41,blue-collar,married,primary,no,183,yes,yes,(429) 971-1121,5,may,110,2,-1,0,unknown,no
40,blue-collar,married,primary,no,0,yes,no,(927) 678-4036,5,may,463,1,-1,0,unknown,no
42,management,single,tertiary,no,0,yes,yes,(752) 525-6653,5,may,562,2,-1,0,unknown,yes
40,blue-collar,divorced,primary,no,0,yes,no,(281) 847-9810,5,may,962,1,-1,0,unknown,no
57,technician,married,secondary,no,1078,yes,no,(403) 796-1143,5,may,10,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,no,155,no,no,(562) 702-9446,5,may,118,3,-1,0,unknown,no
37,admin.,married,secondary,no,190,yes,no,(259) 581-5664,5,may,92,2,-1,0,unknown,no
59,retired,married,secondary,no,319,yes,no,(316) 811-2820,5,may,143,3,-1,0,unknown,no
39,services,divorced,secondary,no,-185,yes,no,(681) 693-8407,5,may,189,3,-1,0,unknown,no
49,services,married,secondary,no,47,no,no,(964) 484-7274,5,may,234,2,-1,0,unknown,no
38,services,single,secondary,no,570,yes,no,(669) 427-3273,5,may,75,2,-1,0,unknown,no
36,self-employed,married,tertiary,no,19,no,no,(753) 256-6278,5,may,189,2,-1,0,unknown,no
50,blue-collar,married,primary,no,61,yes,no,(347) 403-3498,5,may,621,3,-1,0,unknown,no
